iso_o,iso_d,dist,lang,sgdp
ARG,ARG,533.9082398,1,1
ARG,AUS,12044.57413,0,0
ARG,AUT,11751.14652,0,0
ARG,BEL,11305.28576,0,0
ARG,BRA,2391.846414,0,1
ARG,CAN,9391.46105,0,0
ARG,CHE,11232.93301,0,0
ARG,CHL,1156.725879,1,1
ARG,CHN,19110.12767,0,0
ARG,DEU,11646.03299,0,0
ARG,DNK,12006.05287,0,0
ARG,ESP,10079.65679,1,0
ARG,FIN,12969.02423,0,0
ARG,FRA,10932.34095,0,0
ARG,GBR,11136.96279,0,0
ARG,GRC,11772.03871,0,0
ARG,HUN,11973.1675,0,1
ARG,IDN,15581.88409,0,0
ARG,IND,15676.28452,0,0
ARG,IRL,10913.81049,0,0
ARG,ITA,11214.0101,0,0
ARG,JPN,18310.16121,0,0
ARG,KOR,19146.65183,0,0
ARG,MEX,7533.985819,1,1
ARG,MYS,16333.03492,0,1
ARG,NOR,12204.0871,0,0
ARG,NZL,10156.10212,0,0
ARG,PHL,17783.10594,0,0
ARG,POL,12224.974,0,1
ARG,PRT,9636.490272,0,0
ARG,SGP,16120.09542,0,0
ARG,SWE,12404.681,0,0
ARG,THA,17137.09488,0,0
ARG,TUR,12474.3765,0,0
ARG,TWN,18954.79519,0,0
ARG,USA,8678.352247,1,0
AUS,ARG,12044.574,0,0
AUS,AUS,1121.103649,1,1
AUS,AUT,15608.41824,0,1
AUS,BEL,16319.18651,0,1
AUS,BRA,14046.74841,0,0
AUS,CAN,15391.07357,1,1
AUS,CHE,16170.08636,0,1
AUS,CHL,11611.4213,0,0
AUS,CHN,8345.109613,0,0
AUS,DEU,15935.09363,0,1
AUS,DNK,15725.4621,0,1
AUS,ESP,17072.92099,0,1
AUS,FIN,14849.45804,0,1
AUS,FRA,16513.02064,0,1
AUS,GBR,16602.27103,1,1
AUS,GRC,14845.5986,0,1
AUS,HUN,15311.41353,0,0
AUS,IDN,5077.672189,0,0
AUS,IND,9548.676641,1,0
AUS,IRL,16895.02656,1,1
AUS,ITA,15855.40677,0,1
AUS,JPN,7827.079066,0,1
AUS,KOR,8112.907054,1,1
AUS,MEX,13430.11267,0,0
AUS,MYS,6084.200278,0,0
AUS,NOR,15646.15719,0,1
AUS,NZL,2736.360539,1,1
AUS,PHL,5896.923465,1,0
