iso_o,iso_d,tariff
ARG,ARG,0
ARG,AUS,0.039999999
ARG,AUT,0.119999997
ARG,BEL,0.109999999
ARG,BRA,0
ARG,CAN,0.07
ARG,CHE,0.5
ARG,CHL,0
ARG,CHN,0.039999999
ARG,DEU,0.150000006
ARG,DNK,0.01
ARG,ESP,0.029999999
ARG,FIN,0.07
ARG,FRA,0.079999998
ARG,GBR,0.150000006
ARG,GRC,0.059999999
ARG,HUN,0.079999998
ARG,IDN,0.02
ARG,IND,0.449999988
ARG,IRL,0.029999999
ARG,ITA,0.059999999
ARG,JPN,0.050000001
ARG,KOR,0.059999999
ARG,MEX,0.050000001
ARG,MYS,0.02
ARG,NOR,0.090000004
ARG,NZL,0.02
ARG,PHL,0.029999999
ARG,POL,0.02
ARG,PRT,0.059999999
ARG,SGP,0
ARG,SWE,0.07
ARG,THA,0.090000004
ARG,TUR,0.07
ARG,TWN,0.039999999
ARG,USA,0.02
AUS,ARG,0.119999997
AUS,AUS,0
AUS,AUT,0.050000001
AUS,BEL,0.07
AUS,BRA,0.129999995
AUS,CAN,0.029999999
AUS,CHE,0.180000007
AUS,CHL,0.059999999
AUS,CHN,0.07
AUS,DEU,0.029999999
AUS,DNK,0.170000002
AUS,ESP,0.029999999
AUS,FIN,0.02
AUS,FRA,0.029999999
AUS,GBR,0.07
AUS,GRC,0.059999999
AUS,HUN,0.029999999
AUS,IDN,0.050000001
AUS,IND,0.150000006
AUS,IRL,0.039999999
AUS,ITA,0.02
AUS,JPN,0.219999999
AUS,KOR,0.150000006
AUS,MEX,0.170000002
AUS,MYS,0.050000001
AUS,NOR,0.100000001
AUS,NZL,0
AUS,PHL,0.050000001
AUS,POL,0.039999999
AUS,PRT,0.02
AUS,SGP,0
AUS,SWE,0.039999999
AUS,THA,0.059999999
AUS,TUR,0.01
AUS,TWN,0.039999999
AUS,USA,0.050000001
AUT,ARG,0.119999997
AUT,AUS,0.039999999
AUT,AUT,0
AUT,BEL,0
AUT,BRA,0.140000001
AUT,CAN,0.029999999
AUT,CHE,0.02
AUT,CHL,0
AUT,CHN,0.059999999
AUT,DEU,0
AUT,DNK,0
AUT,ESP,0
AUT,FIN,0
AUT,FRA,0
AUT,GBR,0
AUT,GRC,0
AUT,HUN,0
AUT,IDN,0.029999999
AUT,IND,0.150000006
AUT,IRL,0
AUT,ITA,0
AUT,JPN,0.039999999
AUT,KOR,0.079999998
AUT,MEX,0.050000001
AUT,MYS,0.029999999
AUT,NOR,0.02
