iso_o,iso_d,xtr2001
ARG,ARG,76469.64063
ARG,AUS,61.152413
ARG,AUT,17.639451
ARG,BEL,175.303192
ARG,BRA,3677.02608
ARG,CAN,123.489397
ARG,CHE,20.669027
ARG,CHL,859.115834
ARG,CHN,221.548654
ARG,DEU,401.830347
ARG,DNK,255.754423
ARG,ESP,557.998031
ARG,FIN,13.018658
ARG,FRA,261.602532
ARG,GBR,264.336628
ARG,GRC,41.370433
ARG,HUN,12.326874
ARG,IDN,22.813768
ARG,IND,48.672991
ARG,IRL,28.004702
ARG,ITA,664.917852
ARG,JPN,149.034982
ARG,KOR,66.265549
ARG,MEX,483.630451
ARG,MYS,129.126637
ARG,NOR,21.594578
ARG,NZL,4.6918
ARG,PHL,89.611982
ARG,POL,38.979911
ARG,PRT,86.671905
ARG,SGP,30.647513
ARG,SWE,19.343344
ARG,THA,232.029168
ARG,TUR,35.565901
ARG,TWN,51.23702621
ARG,USA,1637.56105
AUS,ARG,30.021194
AUS,AUS,94108.97656
AUS,AUT,45.862844
AUS,BEL,292.416674
AUS,BRA,96.399253
AUS,CAN,529.728238
AUS,CHE,106.981395
AUS,CHL,52.998747
AUS,CHN,2267.058057
AUS,DEU,575.838344
AUS,DNK,45.804247
AUS,ESP,187.707631
AUS,FIN,20.02566
AUS,FRA,429.140196
AUS,GBR,1945.693777
AUS,GRC,38.045498
AUS,HUN,23.303247
AUS,IDN,1319.457826
AUS,IND,466.143237
AUS,IRL,149.841648
AUS,ITA,1039.40767
AUS,JPN,3372.548287
AUS,KOR,2344.949042
AUS,MEX,182.036986
AUS,MYS,1139.139837
AUS,NOR,67.102073
AUS,NZL,2818.948301
AUS,PHL,493.370109
AUS,POL,32.107115
AUS,PRT,16.049532
AUS,SGP,1465.097781
AUS,SWE,53.866762
AUS,THA,1138.50583
AUS,TUR,145.916583
AUS,TWN,1299.138306
AUS,USA,3798.945754
AUT,ARG,81.544607
AUT,AUS,257.116735
AUT,AUT,53080.21484
AUT,BEL,1208.987837
AUT,BRA,255.441731
AUT,CAN,518.368748
AUT,CHE,3448.846515
AUT,CHL,40.153318
AUT,CHN,731.83403
AUT,DEU,19441.50135
AUT,DNK,484.414629
AUT,ESP,1609.917739
AUT,FIN,343.291172
AUT,FRA,2619.064709
AUT,GBR,2730.530917
AUT,GRC,288.292457
AUT,HUN,2513.017032
AUT,IDN,117.791673
AUT,IND,106.867528
AUT,IRL,180.145816
AUT,ITA,5182.326003
AUT,JPN,887.986277
AUT,KOR,279.346274
AUT,MEX,217.923267
AUT,MYS,96.640615
AUT,NOR,281.879191
AUT,NZL,45.400847
AUT,PHL,74.378732
AUT,POL,961.938432
AUT,PRT,281.242667
AUT,SGP,309.043858
AUT,SWE,633.220151
AUT,THA,91.873957
AUT,TUR,419.968262
AUT,TWN,228.7844391
AUT,USA,3967.954112
BEL,ARG,212.250511
BEL,AUS,767.732742
BEL,AUT,1875.269355
BEL,BEL,195617.5313
BEL,BRA,815.042592
BEL,CAN,725.174693
BEL,CHE,2362.961636
BEL,CHL,114.422496
BEL,CHN,1680.152385
BEL,DEU,28883.29683
BEL,DNK,1358.958251
BEL,ESP,6765.048045
BEL,FIN,944.868731
BEL,FRA,28982.35929
BEL,GBR,17566.86524
BEL,GRC,1100.769814
BEL,HUN,808.537841
BEL,IDN,209.15379
BEL,IND,2683.92754
BEL,IRL,1362.970588
BEL,ITA,9572.488533
BEL,JPN,1761.429144
BEL,KOR,497.897019
BEL,MEX,604.417824
BEL,MYS,314.22646
BEL,NOR,580.627673
BEL,NZL,133.756834
BEL,PHL,107.638916
BEL,POL,1430.722433
BEL,PRT,1316.087437
BEL,SGP,587.846963
BEL,SWE,2428.39018
BEL,THA,552.826987
BEL,TUR,1127.731176
BEL,TWN,816.6878662
BEL,USA,9591.588449
BRA,ARG,4728.378454
BRA,AUS,260.810794
BRA,AUT,133.421849
BRA,BEL,1424.337085
BRA,BRA,260042.625
BRA,CAN,912.870246
BRA,CHE,417.257038
BRA,CHL,1288.385061
BRA,CHN,961.655877
BRA,DEU,2153.883211
BRA,DNK,132.273246
BRA,ESP,564.607469
BRA,FIN,75.223622
BRA,FRA,1807.544071
BRA,GBR,1428.282305
BRA,GRC,135.939574
BRA,HUN,219.014021
BRA,IDN,175.757905
BRA,IND,151.492548
BRA,IRL,323.728221
BRA,ITA,1389.803497
BRA,JPN,1340.068308
BRA,KOR,618.353349
BRA,MEX,1976.396625
